,na,nb,objective,rbf_variance,rbf_lengthscale,noise_variance,train_rms,val_rms,test_rms
32,5,7,-69313.83310908079,0.34260282675594705,"[15.586119198534906, 14.827386032621197, 14.609447654218162, 14.580447341719102, 15.794940116749583, 13.881838601827615, 13.476457675484209, 13.023081318235388, 12.293170692135591, 11.46040755637731, 11.052260554277874, 11.17302142650895]",6.818570183595238e-05,0.003686917343876686,0.003590034264488983,0.004057428781288979
33,5,8,-70184.19334176183,4.682131854456177,"[35.63066842716637, 34.67947115373218, 35.09322899411986, 35.37838745762322, 37.00173116437344, 32.605843175156856, 31.56356150635789, 30.493785522274244, 29.507284332239767, 28.60424682167841, 28.247957584460295, 28.554115731516234, 29.38316566711969]",6.684059313318432e-05,0.0037079740029309907,0.0035966531033851143,0.004142005488788553
34,5,9,-68652.35711854696,0.6713037500084154,"[20.4716788273782, 19.288756723248994, 19.092788664259594, 19.73791292179178, 21.55669762318482, 18.66994014397705, 17.220974718301346, 16.05064904319671, 15.450819109079866, 15.50688887068061, 16.021424323506743, 16.699396488124375, 17.286369011523362, 17.60867281401718]",6.735283787929027e-05,0.0037089220772185466,0.00360548012397946,0.004101856353007459
35,5,10,-69643.06570154428,0.9592360382560841,"[23.230758873093063, 22.756453458575155, 23.082724712795713, 24.218610466514033, 26.16439221614926, 21.4097417666363, 19.900545050826032, 18.698757425407724, 18.04179508898037, 18.126430299972768, 18.77193435874856, 19.544223196333075, 20.01054580901105, 20.162572423809515, 19.63751521088172]",6.74427866978103e-05,0.003619631431308386,0.003517215404037181,0.003938767940836726
36,6,2,-68798.48323240876,3.3758194895220797,"[21.569615007805034, 20.435634298335007, 19.833522415803035, 20.26856077749868, 21.162222975567598, 21.788033115352444, 19.04221285728778, 15.544873269365665]",7.742407144689816e-05,0.004038737732004366,0.003891325354525003,0.004059724522763408
37,6,3,-69581.80531537533,1.6806647975797024,"[27.335854931931582, 23.919863454185617, 23.079638922234757, 23.306798759606288, 24.15400757502199, 29.405311231772025, 27.54812371628234, 21.62870676800525, 11.414153271767793]",7.298942697648537e-05,0.003906207758858046,0.0037719557977132006,0.003929584446604981
38,6,4,-69387.38122138381,1.0975604951107405,"[22.203750318966293, 20.474395051184228, 19.75024228814165, 18.947452835543462, 19.31701464178881, 23.91986004124243, 22.154827705789437, 20.228625012903834, 17.83690526547279, 10.186973099157761]",7.324813693628236e-05,0.0038487758775661574,0.0036937993819079864,0.0039208720484114655
39,6,5,-69798.22116965055,1.849160717935257,"[25.953735268869934, 24.02845038329395, 23.08056478654938, 22.393092739784556, 22.71434855248135, 26.937698778761956, 24.276867534458525, 22.95335906490662, 22.593324908020982, 19.033235463054563, 15.010737572074705]",6.907141641628542e-05,0.0037871618165428627,0.0036277044039378114,0.003854659501181122
40,6,6,-70722.75271782279,3.487862623537627,"[29.664167714346696, 28.112266015174725, 27.28761991514297, 27.113629473429167, 27.734258729026614, 30.790442510615772, 26.928088945584733, 26.17371141314816, 25.694285934299145, 23.90859173216365, 21.550390307195123, 20.104643921923266]",6.442485272833954e-05,0.0036640209122392473,0.0035317590223456013,0.003825438005613448
41,6,7,-69275.14861735702,1.5217049207992375,"[23.83350188945109, 22.703372054470393, 22.00379365156766, 21.7824263845804, 22.468319818227624, 24.428104917095315, 22.47902956534802, 21.869995705679777, 20.906402759710137, 19.598777697125684, 18.26209682979334, 17.64672603242288, 17.89265303081107]",6.996737817379094e-05,0.0037342019077899052,0.0036504244647151923,0.004026537346518207
